team_i,team_j,home_vs_j_count,away_at_j_count
Miami Heat,Brooklyn Nets,0,1
Miami Heat,Chicago Bulls,1,0
Miami Heat,Cleveland Cavaliers,0,1
Miami Heat,Dallas Mavericks,1,1
Miami Heat,Denver Nuggets,0,1
Miami Heat,Golden State Warriors,1,0
Miami Heat,Houston Rockets,1,0
Miami Heat,Los Angeles Lakers,1,0
Miami Heat,Milwaukee Bucks,0,1
Miami Heat,New York Knicks,1,0
Miami Heat,Philadelphia 76ers,1,0
Miami Heat,Phoenix Suns,1,0
Miami Heat,Toronto Raptors,0,1
Milwaukee Bucks,Atlanta Hawks,0,1
Milwaukee Bucks,Boston Celtics,0,1
Milwaukee Bucks,Brooklyn Nets,1,0
Milwaukee Bucks,Chicago Bulls,0,1
Milwaukee Bucks,Cleveland Cavaliers,1,1
Milwaukee Bucks,Dallas Mavericks,1,0
Milwaukee Bucks,Denver Nuggets,1,0
Milwaukee Bucks,Golden State Warriors,0,1
Milwaukee Bucks,Houston Rockets,0,1
Milwaukee Bucks,Los Angeles Lakers,1,0
Milwaukee Bucks,Miami Heat,1,0
Milwaukee Bucks,New York Knicks,1,0
Milwaukee Bucks,Philadelphia 76ers,1,0
Milwaukee Bucks,Phoenix Suns,1,0
Milwaukee Bucks,Toronto Raptors,0,1
New York Knicks,Atlanta Hawks,0,1
New York Knicks,Boston Celtics,1,0
New York Knicks,Brooklyn Nets,1,0
New York Knicks,Chicago Bulls,1,0
New York Knicks,Cleveland Cavaliers,0,1
New York Knicks,Dallas Mavericks,1,0
New York Knicks,Denver Nuggets,0,1
New York Knicks,Golden State Warriors,0,1
New York Knicks,Houston Rockets,0,1
New York Knicks,Los Angeles Lakers,1,1
New York Knicks,Miami Heat,0,1
New York Knicks,Milwaukee Bucks,0,1
New York Knicks,Philadelphia 76ers,0,1
New York Knicks,Phoenix Suns,0,1
New York Knicks,Toronto Raptors,1,0
Philadelphia 76ers,Atlanta Hawks,1,0
Philadelphia 76ers,Boston Celtics,0,1
Philadelphia 76ers,Brooklyn Nets,0,1
Philadelphia 76ers,Chicago Bulls,1,0
Philadelphia 76ers,Cleveland Cavaliers,1,0
Philadelphia 76ers,Dallas Mavericks,0,1
Philadelphia 76ers,Denver Nuggets,0,1
Philadelphia 76ers,Golden State Warriors,0,1
Philadelphia 76ers,Houston Rockets,0,1
Philadelphia 76ers,Los Angeles Lakers,1,0
Philadelphia 76ers,Miami Heat,0,1
Philadelphia 76ers,Milwaukee Bucks,0,1
Philadelphia 76ers,New York Knicks,1,0
Philadelphia 76ers,Phoenix Suns,1,1
Philadelphia 76ers,Toronto Raptors,1,0
Phoenix Suns,Atlanta Hawks,0,1
Phoenix Suns,Boston Celtics,0,1
Phoenix Suns,Brooklyn Nets,1,0
Phoenix Suns,Chicago Bulls,1,0
Phoenix Suns,Cleveland Cavaliers,1,0
Phoenix Suns,Dallas Mavericks,1,0
Phoenix Suns,Denver Nuggets,1,0
Phoenix Suns,Golden State Warriors,1,0
Phoenix Suns,Houston Rockets,0,1
Phoenix Suns,Los Angeles Lakers,0,1
Phoenix Suns,Miami Heat,0,1
Phoenix Suns,Milwaukee Bucks,0,1
Phoenix Suns,New York Knicks,1,0
Phoenix Suns,Philadelphia 76ers,1,1
Phoenix Suns,Toronto Raptors,0,1
Toronto Raptors,Atlanta Hawks,0,1
Toronto Raptors,Boston Celtics,1,0
Toronto Raptors,Brooklyn Nets,1,0
Toronto Raptors,Chicago Bulls,0,1
Toronto Raptors,Cleveland Cavaliers,0,1
Toronto Raptors,Dallas Mavericks,0,1
Toronto Raptors,Denver Nuggets,1,0
Toronto Raptors,Golden State Warriors,1,0
Toronto Raptors,Houston Rockets,1,1
Toronto Raptors,Los Angeles Lakers,0,1
Toronto Raptors,Miami Heat,1,0
Toronto Raptors,Milwaukee Bucks,1,0
Toronto Raptors,New York Knicks,0,1
Toronto Raptors,Philadelphia 76ers,0,1
Toronto Raptors,Phoenix Suns,1,0
