team,date
Milwaukee Bucks,"Mon, Nov 03, 2025"
Milwaukee Bucks,"Wed, Nov 05, 2025"
Milwaukee Bucks,"Tue, Nov 11, 2025"
Milwaukee Bucks,"Sat, Nov 15, 2025"
Milwaukee Bucks,"Mon, Nov 17, 2025"
Milwaukee Bucks,"Wed, Nov 19, 2025"
Milwaukee Bucks,"Thu, Dec 25, 2025"
New York Knicks,"Mon, Nov 03, 2025"
New York Knicks,"Fri, Nov 07, 2025"
New York Knicks,"Mon, Nov 17, 2025"
New York Knicks,"Wed, Nov 19, 2025"
New York Knicks,"Fri, Nov 21, 2025"
New York Knicks,"Sun, Nov 23, 2025"
New York Knicks,"Thu, Nov 27, 2025"
New York Knicks,"Fri, Nov 28, 2025"
New York Knicks,"Sat, Nov 29, 2025"
New York Knicks,"Thu, Dec 25, 2025"
Philadelphia 76ers,"Mon, Nov 03, 2025"
Philadelphia 76ers,"Thu, Nov 13, 2025"
Philadelphia 76ers,"Sat, Nov 15, 2025"
Philadelphia 76ers,"Mon, Nov 17, 2025"
Philadelphia 76ers,"Wed, Nov 19, 2025"
Philadelphia 76ers,"Sun, Nov 23, 2025"
Philadelphia 76ers,"Thu, Nov 27, 2025"
Philadelphia 76ers,"Fri, Nov 28, 2025"
Philadelphia 76ers,"Thu, Dec 25, 2025"
Phoenix Suns,"Sat, Nov 01, 2025"
Phoenix Suns,"Wed, Nov 05, 2025"
Phoenix Suns,"Fri, Nov 07, 2025"
Phoenix Suns,"Mon, Nov 17, 2025"
Phoenix Suns,"Thu, Nov 27, 2025"
Phoenix Suns,"Fri, Nov 28, 2025"
Phoenix Suns,"Sat, Nov 29, 2025"
Phoenix Suns,"Mon, Dec 01, 2025"
Toronto Raptors,"Mon, Nov 03, 2025"
Toronto Raptors,"Tue, Nov 11, 2025"
Toronto Raptors,"Thu, Nov 13, 2025"
Toronto Raptors,"Sat, Nov 15, 2025"
Toronto Raptors,"Wed, Nov 19, 2025"
Toronto Raptors,"Fri, Nov 21, 2025"
Toronto Raptors,"Sun, Nov 23, 2025"
Toronto Raptors,"Thu, Dec 25, 2025"
