Date,Visitor,PTS,Home,PTS.1,Attend.,LOG,Arena,Notes
"Wed, Nov 05, 2025",Atlanta Hawks,,Brooklyn Nets,,"17,500",7:30 PM,Barclays Center,
"Wed, Nov 05, 2025",Cleveland Cavaliers,,Philadelphia 76ers,,"19,650",7:30 PM,Wells Fargo Center,
"Wed, Nov 05, 2025",Milwaukee Bucks,,Toronto Raptors,,"19,600",7:30 PM,Scotiabank Arena,
"Wed, Nov 05, 2025",Chicago Bulls,,Miami Heat,,"19,700",7:30 PM,Kaseya Center,
"Fri, Nov 07, 2025",Phoenix Suns,,Boston Celtics,,"19,000",7:30 PM,TD Garden,
"Fri, Nov 07, 2025",Houston Rockets,,Denver Nuggets,,"19,000",7:30 PM,Ball Arena,
"Fri, Nov 07, 2025",Los Angeles Lakers,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,
"Fri, Nov 07, 2025",Golden State Warriors,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,
"Fri, Nov 07, 2025",New York Knicks,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Fri, Nov 07, 2025",Brooklyn Nets,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,
"Fri, Nov 07, 2025",Chicago Bulls,,Philadelphia 76ers,,"19,650",7:30 PM,Wells Fargo Center,
"Fri, Nov 07, 2025",Miami Heat,,Toronto Raptors,,"19,600",7:30 PM,Scotiabank Arena,
"Tue, Nov 11, 2025",Boston Celtics,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,
"Tue, Nov 11, 2025",Dallas Mavericks,,Phoenix Suns,,"17,450",7:30 PM,Footprint Center,
"Tue, Nov 11, 2025",Atlanta Hawks,,Denver Nuggets,,"19,000",7:30 PM,Ball Arena,
"Tue, Nov 11, 2025",Cleveland Cavaliers,,Los Angeles Lakers,,"19,000",7:30 PM,Crypto.com Arena,
"Tue, Nov 11, 2025",Milwaukee Bucks,,Golden State Warriors,,"18,500",7:30 PM,Chase Center,
"Tue, Nov 11, 2025",Chicago Bulls,,New York Knicks,,"19,400",7:30 PM,Madison Square Garden,
"Tue, Nov 11, 2025",Miami Heat,,Brooklyn Nets,,"17,500",7:30 PM,Barclays Center,
"Tue, Nov 11, 2025",Toronto Raptors,,Philadelphia 76ers,,"19,650",7:30 PM,Wells Fargo Center,
"Thu, Nov 13, 2025",Dallas Mavericks,,Boston Celtics,,"19,000",7:30 PM,TD Garden,
"Thu, Nov 13, 2025",Atlanta Hawks,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,
"Thu, Nov 13, 2025",Cleveland Cavaliers,,Phoenix Suns,,"17,450",7:30 PM,Footprint Center,
"Thu, Nov 13, 2025",Denver Nuggets,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,
"Thu, Nov 13, 2025",Los Angeles Lakers,,Chicago Bulls,,"20,850",7:30 PM,United Center,
"Thu, Nov 13, 2025",Golden State Warriors,,Miami Heat,,"19,700",7:30 PM,Kaseya Center,
"Thu, Nov 13, 2025",Toronto Raptors,,New York Knicks,,"19,400",7:30 PM,Madison Square Garden,
"Thu, Nov 13, 2025",Philadelphia 76ers,,Brooklyn Nets,,"17,500",7:30 PM,Barclays Center,
"Sat, Nov 15, 2025",Boston Celtics,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,
"Sat, Nov 15, 2025",Cleveland Cavaliers,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,
"Sat, Nov 15, 2025",Milwaukee Bucks,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,
"Sat, Nov 15, 2025",Chicago Bulls,,Phoenix Suns,,"17,450",7:30 PM,Footprint Center,
"Sat, Nov 15, 2025",Miami Heat,,Denver Nuggets,,"19,000",7:30 PM,Ball Arena,
"Sat, Nov 15, 2025",Toronto Raptors,,Los Angeles Lakers,,"19,000",7:30 PM,Crypto.com Arena,
"Sat, Nov 15, 2025",Philadelphia 76ers,,Golden State Warriors,,"18,500",7:30 PM,Chase Center,
"Sat, Nov 15, 2025",Brooklyn Nets,,New York Knicks,,"19,400",7:30 PM,Madison Square Garden,
"Mon, Nov 17, 2025",Boston Celtics,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Mon, Nov 17, 2025",Milwaukee Bucks,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,
"Mon, Nov 17, 2025",Chicago Bulls,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,
"Mon, Nov 17, 2025",Houston Rockets,,Miami Heat,,"19,700",7:30 PM,Kaseya Center,
"Mon, Nov 17, 2025",Phoenix Suns,,Toronto Raptors,,"19,600",7:30 PM,Scotiabank Arena,
"Mon, Nov 17, 2025",Philadelphia 76ers,,Denver Nuggets,,"19,000",7:30 PM,Ball Arena,
"Mon, Nov 17, 2025",Brooklyn Nets,,Los Angeles Lakers,,"19,000",7:30 PM,Crypto.com Arena,
"Mon, Nov 17, 2025",New York Knicks,,Golden State Warriors,,"18,500",7:30 PM,Chase Center,
"Wed, Nov 19, 2025",Milwaukee Bucks,,Boston Celtics,,"19,000",7:30 PM,TD Garden,
"Wed, Nov 19, 2025",Chicago Bulls,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Wed, Nov 19, 2025",Miami Heat,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,
"Wed, Nov 19, 2025",Toronto Raptors,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,
"Wed, Nov 19, 2025",Philadelphia 76ers,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,
"Wed, Nov 19, 2025",Brooklyn Nets,,Phoenix Suns,,"17,450",7:30 PM,Footprint Center,
"Wed, Nov 19, 2025",New York Knicks,,Denver Nuggets,,"19,000",7:30 PM,Ball Arena,
"Wed, Nov 19, 2025",Golden State Warriors,,Los Angeles Lakers,,"19,000",7:30 PM,Crypto.com Arena,
"Fri, Nov 21, 2025",Boston Celtics,,Chicago Bulls,,"20,850",7:30 PM,United Center,
"Fri, Nov 21, 2025",Miami Heat,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,
"Fri, Nov 21, 2025",Toronto Raptors,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Fri, Nov 21, 2025",Atlanta Hawks,,Philadelphia 76ers,,"19,650",7:30 PM,Wells Fargo Center,
"Fri, Nov 21, 2025",Dallas Mavericks,,Brooklyn Nets,,"17,500",7:30 PM,Barclays Center,
"Fri, Nov 21, 2025",New York Knicks,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,
"Fri, Nov 21, 2025",Golden State Warriors,,Phoenix Suns,,"17,450",7:30 PM,Footprint Center,
"Fri, Nov 21, 2025",Los Angeles Lakers,,Denver Nuggets,,"19,000",7:30 PM,Ball Arena,
"Sun, Nov 23, 2025",Miami Heat,,Boston Celtics,,"19,000",7:30 PM,TD Garden,
"Sun, Nov 23, 2025",Toronto Raptors,,Chicago Bulls,,"20,850",7:30 PM,United Center,
"Sun, Nov 23, 2025",Philadelphia 76ers,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,
"Sun, Nov 23, 2025",Brooklyn Nets,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Sun, Nov 23, 2025",New York Knicks,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,
"Sun, Nov 23, 2025",Golden State Warriors,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,
"Sun, Nov 23, 2025",Los Angeles Lakers,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,
"Sun, Nov 23, 2025",Denver Nuggets,,Phoenix Suns,,"17,450",7:30 PM,Footprint Center,
"Thu, Nov 27, 2025",Boston Celtics,,Toronto Raptors,,"19,600",7:30 PM,Scotiabank Arena,Thanksgiving
"Thu, Nov 27, 2025",Philadelphia 76ers,,Miami Heat,,"19,700",7:30 PM,Kaseya Center,Thanksgiving
"Thu, Nov 27, 2025",Brooklyn Nets,,Chicago Bulls,,"20,850",7:30 PM,United Center,Thanksgiving
"Thu, Nov 27, 2025",New York Knicks,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,Thanksgiving
"Thu, Nov 27, 2025",Cleveland Cavaliers,,Golden State Warriors,,"18,500",7:30 PM,Chase Center,Thanksgiving
"Thu, Nov 27, 2025",Los Angeles Lakers,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,Thanksgiving
"Thu, Nov 27, 2025",Denver Nuggets,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,Thanksgiving
"Thu, Nov 27, 2025",Phoenix Suns,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,Thanksgiving
"Fri, Nov 28, 2025",Philadelphia 76ers,,Boston Celtics,,"19,000",7:30 PM,TD Garden,
"Fri, Nov 28, 2025",Brooklyn Nets,,Toronto Raptors,,"19,600",7:30 PM,Scotiabank Arena,
"Fri, Nov 28, 2025",New York Knicks,,Miami Heat,,"19,700",7:30 PM,Kaseya Center,
"Fri, Nov 28, 2025",Golden State Warriors,,Chicago Bulls,,"20,850",7:30 PM,United Center,
"Fri, Nov 28, 2025",Los Angeles Lakers,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,
"Fri, Nov 28, 2025",Denver Nuggets,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Fri, Nov 28, 2025",Phoenix Suns,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,
"Fri, Nov 28, 2025",Houston Rockets,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,
"Sat, Nov 29, 2025",Boston Celtics,,Brooklyn Nets,,"17,500",7:30 PM,Barclays Center,
"Sat, Nov 29, 2025",New York Knicks,,Philadelphia 76ers,,"19,650",7:30 PM,Wells Fargo Center,
"Sat, Nov 29, 2025",Golden State Warriors,,Toronto Raptors,,"19,600",7:30 PM,Scotiabank Arena,
"Sat, Nov 29, 2025",Los Angeles Lakers,,Miami Heat,,"19,700",7:30 PM,Kaseya Center,
"Sat, Nov 29, 2025",Denver Nuggets,,Chicago Bulls,,"20,850",7:30 PM,United Center,
"Sat, Nov 29, 2025",Phoenix Suns,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,
"Sat, Nov 29, 2025",Houston Rockets,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Sat, Nov 29, 2025",Dallas Mavericks,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,
"Mon, Dec 01, 2025",Boston Celtics,,New York Knicks,,"19,400",7:30 PM,Madison Square Garden,
"Mon, Dec 01, 2025",Golden State Warriors,,Brooklyn Nets,,"17,500",7:30 PM,Barclays Center,
"Mon, Dec 01, 2025",Los Angeles Lakers,,Philadelphia 76ers,,"19,650",7:30 PM,Wells Fargo Center,
"Mon, Dec 01, 2025",Denver Nuggets,,Toronto Raptors,,"19,600",7:30 PM,Scotiabank Arena,
"Mon, Dec 01, 2025",Phoenix Suns,,Miami Heat,,"19,700",7:30 PM,Kaseya Center,
"Mon, Dec 01, 2025",Houston Rockets,,Chicago Bulls,,"20,850",7:30 PM,United Center,
"Mon, Dec 01, 2025",Dallas Mavericks,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,
"Mon, Dec 01, 2025",Atlanta Hawks,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Thu, Dec 25, 2025",Boston Celtics,,Golden State Warriors,,"18,500",7:30 PM,Chase Center,Christmas Day
"Thu, Dec 25, 2025",New York Knicks,,Los Angeles Lakers,,"19,000",7:30 PM,Crypto.com Arena,Christmas Day
"Thu, Dec 25, 2025",Brooklyn Nets,,Denver Nuggets,,"19,000",7:30 PM,Ball Arena,Christmas Day
"Thu, Dec 25, 2025",Philadelphia 76ers,,Phoenix Suns,,"17,450",7:30 PM,Footprint Center,Christmas Day
"Thu, Dec 25, 2025",Toronto Raptors,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,Christmas Day
"Thu, Dec 25, 2025",Miami Heat,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,Christmas Day
"Thu, Dec 25, 2025",Chicago Bulls,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,Christmas Day
"Thu, Dec 25, 2025",Milwaukee Bucks,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,Christmas Day
